VIN,Plate,Year,Maker,Model,Submodel,CC,Fuel,Transmission,FirstReg,BodyStyle,ListingDate,ListingUrl
,MWL169,2020,Aston Martin,Vantage,Vantage,3982cc,Petrol,Automatic,NZ New,Coupe,Listed within the last 7 days,https://www.trademe.co.nz/a/motors/cars/aston-martin/5808297166
,,2013,Aston Martin,Vanquish,Coupe,5935cc,Petrol,Automatic,NZ New,Coupe,Listed today,https://www.trademe.co.nz/a/motors/cars/aston-martin/5815839155
,,2024,Aston Martin,DB12,Volante,3982cc,Petrol,Automatic,NZ New,Convertible,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/aston-martin/5738558801
,,2019,Aston Martin,Vantage,Coupe,3982cc,Petrol,Automatic,NZ New,Coupe,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/aston-martin/5774851066
,,2023,Aston Martin,DBX,DBX707,3982cc,Petrol,Automatic,NZ New,RV/SUV,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/aston-martin/5386704928
,,2023,Aston Martin,DBX,DBX707,3982cc,Petrol,Automatic,NZ New,RV/SUV,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/aston-martin/5672641891
,JDDB9,2008,Aston Martin,DB9,Volante,5935cc,Petrol,Automatic,NZ New,Convertible,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/aston-martin/5743392784
,,2025,Aston Martin,DB12,Coupe,3982cc,Petrol,Automatic,NZ New,Coupe,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/aston-martin/5728326803
,,2019,Aston Martin,Vantage,Yellow Painted Brake Calipers,3982cc,Petrol,Automatic,NZ New,Coupe,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/aston-martin/5754692152
,,2024,Aston Martin,DB12,Coupe,3982cc,Petrol,Automatic,NZ New,Coupe,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/aston-martin/4704798501
,,2026,Aston Martin,DBX,S,3982cc,Petrol,Automatic,NZ New,RV/SUV,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/aston-martin/5787983836
,,2025,Aston Martin,Vantage,Coupe,3982cc,Petrol,Automatic,NZ New,Coupe,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/aston-martin/5165915200
,,2025,Aston Martin,DBX,DBX707,3982cc,Petrol,Automatic,NZ New,RV/SUV,Listed within the last 30 days,https://www.trademe.co.nz/a/motors/cars/aston-martin/5791324222
,,2020,Aston Martin,DB11,V8,3982cc,Petrol,Automatic,NZ New,Coupe,Listed more than a month ago,https://www.trademe.co.nz/a/motors/cars/aston-martin/5760142498
