VIN,Plate,Year,Maker,Model,Submodel,CC,Fuel,Transmission,FirstReg,BodyStyle,ListingDate,ListingUrl
,,2010,Bentley,Continental,Supersports 6.0L Coupe,5998cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5793605809
,,2022,Bentley,Bentayga,V8,3996cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bentley/5793574042
,,2025,Bentley,Flying Spur,Speed,3996cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5793480899
,,2005,Bentley,Continental,Continental,5998cc,,,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5790554444
,,2022,Bentley,Flying Spur,V8,3996cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5790281936
,,2025,Bentley,Continental,GT Speed,3996cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5790105612
,,2005,Bentley,Continental,Gt,5998cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5790060561
,,2010,Bentley,Continental,Series 51 Speed,5998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5789863661
,,2020,Bentley,Continental,GT W12 Centenary Edition,5998cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5781906883
,,2023,Bentley,Bentayga,V8,3996cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bentley/5766456253
,,2020,Bentley,Continental,GT 6.0P/4WD/8AT,5950cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5764734010
,,2011,Bentley,Continental,Supersports Conv,5998cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bentley/5760383715
,,2020,Bentley,Continental,GT W12,5950cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5759749048
,,2010,Bentley,Continental,Supersports,5998cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5758271798
,,1953,Bentley,Other,MK6 R Series,4257cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5744381027
,,2022,Bentley,Continental,GT V8,3996cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5729600273
,,2024,Bentley,Bentayga,Azure,3996cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bentley/5726136899
,,2012,Bentley,Continental,W12 GT Speed,5998cc,,Tiptronic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5753082736
,,2026,Bentley,Bentayga,S,3996cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bentley/5702578967
,,2016,Bentley,Continental,Flying Spur 4.0 V8 Sedan,4000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5684756209
,,2013,Bentley,Continental,GT V8 AUTO,3993cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5682426698
,,2018,Bentley,Continental,GT W12 6.0 4WD,5950cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5679104916
,,2019,Bentley,Continental,GT,5950cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5670529543
,,2015,Bentley,Flying Spur,V8 Mulliner,3993cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5667276398
,,2007,Bentley,Continental,Continental,5998cc,,,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5665727326
,,2012,Bentley,Continental,GT V8 Coupe,4000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5659967123
,,2024,Bentley,Bentayga,'Umbra' by Mulliner,3996cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bentley/5658448164
,,2015,Bentley,Continental,GT V8 S MULLINER,3993cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5654705303
,,1998,Bentley,Other,Azure,6750cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bentley/5791607655
,,2009,Bentley,Continental,Flying Spur Faceliff mode,5998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5813335561
,,2017,Bentley,Continental,GT-S V8,3993cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bentley/5613245781
,,2021,Bentley,Flying Spur,W12,5998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5607803679
,,2026,Bentley,Bentayga,EWB Azure,3996cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bentley/5597189895
,,2011,Bentley,Mulsanne,6.7 Litre Twin-Turbo,6700cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5543019800
,,2014,Bentley,Continental,GT SPEED A,5998cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5539650400
,,2013,Bentley,Continental,GT 6.0 W12 FACELIFT 600BH,6000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5692608769
,,2004,Bentley,Continental,Gt,5998cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5782618242
,,2014,Bentley,Continental,GT 4.0 V8 Facelift Mul...,4000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5517886613
,,2015,Bentley,Continental,GT 4.0 V8 Facelift Coupe,4000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5517336092
,,2007,Bentley,Continental,Continental,5998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5803479836
,,2010,Bentley,Flying Spur,Flying Spur Mulliner 2...,5998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5490653048
,,2011,Bentley,Mulsanne,Mulsanne,6752cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5487068679
,,2007,Bentley,Continental,Flying Spur W12,5998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5784652658
,,2021,Bentley,Continental,GT V8,3996cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5466566857
,,2024,Bentley,Continental,S 4.0P/4WD/8AT,3996cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5456585200
,,2021,Bentley,Bentayga,Bentayga,3996cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bentley/5452239975
,,2021,Bentley,Bentayga,V8,3996cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bentley/5425119242
,,2018,Bentley,Continental,GT,5950cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5799673722
,,2019,Bentley,Bentayga,V8 Diesel 900Nm - Bentley Wa,3956cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bentley/5783322640
,,2014,Bentley,Continental,GT 4.0 V8 Facelift Coupe,4000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5372240150
,,2005,Bentley,Continental,GT,5990cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5773816390
,,2012,Bentley,Continental,GT 6.0 W12 Mulliner Fa...,6000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5326606107
,,1935,Bentley,Other,Derby 3.5 Saloon,3500cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5813721752
,,2012,Bentley,Continental,GT Speed Facelift,6000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5223642359
,,2012,Bentley,Continental,CONTINENTAL GT 6.0 W12...,6000cc,,Tiptronic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5115972586
,,2013,Bentley,Mulsanne,V8 Auto,6752cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5791267208
,,2000,Bentley,Other,Arnage Red Label,6700cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5026189029
,,2024,Bentley,Continental,Azure GT V8 Twin Turbo,3996cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/4958450493
,,2014,Bentley,Continental,GT 4.0 V8 Facelift Coupe,4000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/4857870220
,,1997,Bentley,Other,Brooklands LP turbo,6750cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5809679013
,,2014,Bentley,Flying Spur,W12 4Motion Facelift E...,6000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/4771590549
,,2005,Bentley,Other,R,6761cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5800754547
,,2006,Bentley,Flying Spur,W12,6000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/4175932637
,,2014,Bentley,Flying Spur,W12 6.0 4Motion Facelift,6000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/3721297846
,,2012,Bentley,Continental,Flying Spur,5998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5772249644
,,2008,Bentley,Continental,Flying Spur W12 Sedan,6000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/3487376723
,,2012,Bentley,Mulsanne,Sandstone/Fireglow/Birds Eye,6740cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bentley/5768725546
,,2011,Bentley,Continental,Gt,5998cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bentley/5817693765
,,2020,Bmw,M235i,Gran Coupe M-Performance,2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5819018918
,,2019,Bmw,218i,New Generation Active Tourer Spor...,1500cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5819017632
,,2026,Bmw,X1,X1 sdrive18i,1499cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5819002918
,,2026,Bmw,X5,xDrive30d,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5819002832
,,2013,Bmw,M135i,N55 Twin Scroll Turbo,2970cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5819002830
,,2022,Bmw,iX3,M Sport Impressive,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5819002795
,,2026,Bmw,X7,xDrive40d,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5818989840
,,2021,Bmw,X5,M Competition,4395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5818317497
,,2019,Bmw,X2,X20I 2.0PT/4WD/7AT,2000cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5818293323
,,2010,Bmw,Z4,Z4,,,Automatic,,Other,,https://www.trademe.co.nz/a/motors/cars/bmw/5818241903
,,2017,Bmw,X5,25d M Sport xDrive [NZ NEW],1995cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5818175266
,,2003,Bmw,Z4,Roadster,2979cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bmw/5818154358
,,2022,Bmw,X1,S20i NZ NEW 2.0Turbo 141Kw,2000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5818110219
,,2004,Bmw,X3,3.0I I Sav E83,2979cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5818038958
,,2009,Bmw,120i,120i,1990cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5817867405
,,2003,Bmw,318ci,A CABRIO,1995cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bmw/5817867249
,,2008,Bmw,X3,2.5SI X-DRIVE / M-SPORT,2490cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5817867234
,,2024,Bmw,X2,M35i xDrive,1998cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5817810929
,,2018,Bmw,Mini,BLACK ALLOYS !! 1.2 LITRE TURBO !!,1198cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5817741880
,,2023,Bmw,X5,xDrive30d,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5817714209
,,2006,Bmw,335i,335i,2970cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5817688061
,,2018,Bmw,X2,S20I M Sport NZ New,1998cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5817687190
,,2009,Bmw,X6,Xdrive35d Sac,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5817677276
,,2011,Bmw,650i,650i,4390cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5817672719
,,2012,Bmw,116i,Factory alloy wheels,1600cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5817634809
,,2009,Bmw,X6,M57 Single turbo/6 Speed/ NZ New,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5817630283
,,2011,Bmw,320i,320i,1990cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5817596265
,,2019,Bmw,X3,M40D 3.0D 4WD 8A 5Dr Wagon,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5817574685
,,2023,Bmw,320i,318i Motorsport,2000cc,,Tiptronic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5817563538
,,2018,Bmw,X3,X30d 3.0dt/4wd/8at,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5817563376
,,2019,Bmw,X5,M50d 3.0dt/4wd/8at,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5817519809
,,2014,Bmw,640I,Gran Coupe M-Sport - NZ NAVIGATIO...,3000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5817519802
,,2013,Bmw,116i,116i,1590cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5817455553
,,2017,Bmw,740e,iPerformance Executive,1990cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5817449657
,,2012,Bmw,320D,"Turbo, Diesel, NZ NEW, FULL LEATH...",2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5817426348
,,2013,Bmw,320i,Touring Luxury,2000cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5817404843
,,2014,Bmw,i3,i3,1cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5817400206
,,2019,Bmw,X2,X-Drive 20i M-Sport - GENUINE LOW 4...,2000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5817392927
,,2021,Bmw,M8,Gran Coupe Competition +Carbon Pack,4395cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5817280207
,,2015,Bmw,118i,118i,1490cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5817268651
,,2013,Bmw,X5,X5,2990cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5817243932
,,2008,Bmw,135i,135i,2970cc,,,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bmw/5817218665
,,1997,Bmw,Z3,Z3,1890cc,,,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bmw/5817105847
,,2014,Bmw,Mini,One Crossover,1600cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5817063363
,,2012,Bmw,335i,Coupe -Hi Performance Project,2970cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bmw/5817054636
,,2015,Bmw,740i,Facelift l NZ Maps l Sunroof | LD...,3000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5817027599
,,1991,Bmw,318,318,1800cc,,Manual,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5816907710
,,2015,Bmw,320i,M Sport 'Style Edge',2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5816370675
,,2011,Bmw,X5,X5,2993cc,,,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5816353811
,,2026,Bmw,Other,550e xDrive Sedan,2998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5816180066
,,2012,Bmw,116i,1.6 Turbo / New Shape,1600cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5816066884
,,2014,Bmw,X5,XDRIVE 35D M-SPORT,,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5816050515
,,2005,Bmw,X5,X5,4390cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5816026643
,,2012,Bmw,120i,M-Sports,1600cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5816017869
,,2010,Bmw,528i,"3.0 PETROL, LEATHER, BLUETOOTH, A...",2990cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5816002464
,,2013,Bmw,523i,Touring,2496cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5815967338
,,2014,Bmw,X5,35D,3000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815967333
,,2015,Bmw,116i,1.6L ALLOY WHEEL/PUSH START,1590cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5815967243
,,2011,Bmw,116i,116i,1590cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5815932835
,,2017,Bmw,523i,"Luxury model , Leather heated seats,",2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815900637
,,2026,Bmw,X5,M Competition,4395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815857571
,,2026,Bmw,X5,M Competition,4395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815857548
,,2017,Bmw,X5,35d Motorsport,2992cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815822156
,,2018,Bmw,X5,X-DRIVE 35D M-SPORT,3000cc,,Tiptronic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815822046
,,2014,Bmw,435i,435I,2979cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bmw/5815816931
,,2009,Bmw,Z4,Z4,2490cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bmw/5815795597
,,2015,Bmw,535i,M-Sport Turbo,2970cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5815773271
,,2013,Bmw,328i,F30 NEW SHAPE MODERN,1990cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815748426
,,2021,Bmw,330e,Xdrive M Sport,1998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815744701
,,2021,Bmw,M340i,M Performance X drive,2998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815713785
,,1983,Bmw,630i,628 CSI,2788cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bmw/5815702775
,,2015,Bmw,X5,35D M-Sport 1YearWarrantyFree,3000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815690421
,,2012,Bmw,523i,523i,1997cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815641679
,,2015,Bmw,320D,NZ NEW; HUD; Msport Pack,1995cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815624709
,,2022,Bmw,X7,M50D NZ NEW,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815624299
,,2013,Bmw,320i,M Sport,2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815624203
,,2019,Bmw,320i,320i,1998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815579383
,,2000,Bmw,320d,320D,1951cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815515094
,,2026,Bmw,320i,Sedan M Sport,1998cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815494105
,,1998,Bmw,Z3,Z3,1900cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bmw/5815490063
,,2015,Bmw,320D,BluePerformance Luxury,2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815480179
,,2016,Bmw,X5,M SAV 4.4P/4WD/8AT/S,4395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815478732
,,2026,Bmw,X5,xDrive30d,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815419545
,,2026,Bmw,X5,xDrive40d,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815418805
,,2015,Bmw,Other,1 Series 116I,1598cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5815418716
,,2013,Bmw,523i,523i,1997cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815361199
,,2013,Bmw,320i,320i,1997cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815361181
,,2011,Bmw,325i,325i,2990cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5815347810
,,2003,Bmw,745i,E66 7 SERIES LONG V8,4390cc,,Tiptronic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815347654
,,2016,Bmw,435i,Motorsport LCI Coupe,2997cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/bmw/5815344902
,,2019,Bmw,530i,Motorsport - Full Leather - NZ Na...,2000cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5815296313
,,2012,Bmw,535i,M Sport N55 ZF8,2970cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815281117
,,2007,Bmw,Z4,Z4,2497cc,,,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bmw/5815227506
,,2014,Bmw,X5,xDrive 35D M-Sport,2990cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815141407
,,2015,Bmw,X1,20i X Line,1990cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5815141406
,,2026,Bmw,X1,sDrive18i,1499cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815135620
,,2023,Bmw,i4,M50 xDrive,,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5815106926
,,2026,Bmw,iX,M60 112Kwh/Ev/4Wd,,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5815095230
,,2023,Bmw,iX,I XDRIVE50 109KWH,,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5815095182
,,2019,Bmw,118i,NZ New,1499cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5814950576
,,2017,Bmw,X3,xDrive 20d M-Sport,2000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5814533040
,,2017,Bmw,X5,35d M Sport 4WD,3000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5814525299
,,2017,Bmw,X5,M 50D Sav,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5814432735
,,2003,Bmw,318ti,318ti,1990cc,,,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5814413975
,,2013,Bmw,116i,116i,1590cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5814403850
,,1998,Bmw,535,I,3498cc,,,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5814372526
,,2015,Bmw,X1,S-Drive 18i M SPORT - Genuine Low M...,2000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5814370338
,,2016,Bmw,i3,i3,640cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5814254871
,,2005,Bmw,120i,120I E87,1995cc,,Manual,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5814212749
,,1998,Bmw,Z3,Z3,1890cc,,,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bmw/5814210172
,,2019,Bmw,330i,Motorsport M-sport,2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/bmw/5814182344
,,2005,Bmw,325ci,325Ci Conv E46,2494cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bmw/5814142814
,,2011,Bmw,535i,M-Sport Touring,2979cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/bmw/5814079566
,,2023,Bmw,X5,M Competition,4395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5814038386
,,2001,Bmw,Z3,Motorsport Roadster,2170cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bmw/5814023970
,,2018,Bmw,X2,S20i,1998cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5814000477
,,2026,Bmw,X5,M60i xDrive M Sport Pro + Innovations,4395cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5813990079
,,2010,Bmw,120i,120I Cabrio,1995cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/bmw/5813967405
,,2014,Bmw,X5,xDrive 3.0lt Turbo Diesel 'X-Line',3000cc,,Tiptronic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5813957674
,,2025,Bmw,X5,xDrive50e M Sport Pro + Innovations,2998cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5813941497
,,2021,Bmw,X5,xDrive30d Edition,2993cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5813938548
,,2026,Bmw,X7,X7 xDrive40d - Connoisseur and M Sp...,3000cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5813925147
,,2010,Bmw,116i,116i,1590cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/bmw/5813919794
,,2025,Bmw,X2,M35i xDrive,1998cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/bmw/5813874842
