VIN,Plate,Year,Maker,Model,Submodel,CC,Fuel,Transmission,FirstReg,BodyStyle,ListingDate,ListingUrl
,,1997,Alfa Romeo,GTV,Ts 16V,1970cc,,Manual,,Coupe,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5761118737
,,2020,Alfa Romeo,Giulia,Veloce,1995cc,,Automatic,,Other,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5759686026
,,1967,Alfa Romeo,Giulia,GT 1300 Junior step front,2000cc,,Manual,,Coupe,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5759649808
,,2009,Alfa Romeo,MiTo,MiTo,1360cc,,,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5756276670
,,2008,Alfa Romeo,159,Jtd,2387cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5800513085
,,2021,Alfa Romeo,Stelvio,VELOCE CARBON 2.0PT,1995cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5742089360
,,2013,Alfa Romeo,Giulietta,Jtd Tct,1956cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5738187811
,,2007,Alfa Romeo,147,Selespeed,1970cc,,Tiptronic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5737045103
,,2020,Alfa Romeo,Stelvio,Quadrifoglio 2.9P - NZ New,2891cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5736814236
,,2018,Alfa Romeo,Giulia,Veloce 2.0P turbo 8A 4Dr...,2000cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5733718101
,,2024,Alfa Romeo,Stelvio,Quadrifoglio,2891cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5730056067
,,2019,Alfa Romeo,Stelvio,Quadrifoglio,2891cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5721649708
,,2018,Alfa Romeo,Giulia,Giulia,2891cc,,Automatic,,Other,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5718473858
,,1987,Alfa Romeo,GTV,GTV6,2500cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5688713322
,,2007,Alfa Romeo,159,Jtd,2387cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5700921381
,,2022,Alfa Romeo,Giulia,CARBON 2.0PT,1995cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5681089411
,,2009,Alfa Romeo,Other,Brera Q4 V6 NZ NEW,3195cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5675032910
,,2017,Alfa Romeo,Giulia,2.9p/8at,2891cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5671547117
,,2008,Alfa Romeo,159,Sw Ti,2198cc,,Manual,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5666193187
,,1987,Alfa Romeo,75,1.8L,1800cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5665922599
,,2007,Alfa Romeo,159,159,2198cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5665366200
,,2012,Alfa Romeo,159,Ti,2400cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5747605130
,,2019,Alfa Romeo,Stelvio,QUADRIFOGLIO 2.9P,2891cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5658927420
,,2025,Alfa Romeo,Giulia,Veloce,1995cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5656310564
,,1989,Alfa Romeo,Sprint,Sprint,1712cc,,,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5793221524
,,1998,Alfa Romeo,Spider,2.0 T Spark,1970cc,,Manual,,Coupe,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5791326670
,,2022,Alfa Romeo,Stelvio,Quadrifoglio 2.9P,2891cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5619681447
,,2011,Alfa Romeo,Giulietta,Qv,1742cc,,Manual,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5772873395
,,2023,Alfa Romeo,Stelvio,Quadrifoglio 2.9P,2891cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5597605656
,,2002,Alfa Romeo,156,156,2490cc,,,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5817296647
,,2022,Alfa Romeo,Giulia,Quadrifoglio 2.9P V6 Bi-...,2891cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5577168571
,,2021,Alfa Romeo,Stelvio,Quadrifoglio 2.9P 8A 5D...,2891cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5539137263
,,2017,Alfa Romeo,Giulietta,TCT Q V LINE,1368cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5502265799
,,2014,Alfa Romeo,Giulietta,NZ NEW + LOW 76KMS +...,1400cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5486724177
,,2017,Alfa Romeo,Giulia,Giulia,2891cc,,Automatic,,Other,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5773340186
,,2002,Alfa Romeo,166,V6 Sport,2959cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5789712132
,,2020,Alfa Romeo,Giulia,Giulia Quadrifoglio,2891cc,,Automatic,,Other,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5808072042
,,2019,Alfa Romeo,Stelvio,Quadrifoglio,2891cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5443260697
,,2018,Alfa Romeo,Stelvio,2.0PT/4WD/8AT,1995cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5425499327
,,1989,Alfa Romeo,Spider,Veloce,1960cc,,Manual,,Convertible,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5727127656
,,2017,Alfa Romeo,Giulia,PURE CLASS .. SUPER APPE...,1990cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5400245637
,,2008,Alfa Romeo,159,159,2190cc,,Manual,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5781384787
,,2018,Alfa Romeo,Giulia,Quadrifoglio,2891cc,,Automatic,,Sedan,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5798224436
,,2019,Alfa Romeo,Giulietta,Veloce,1742cc,,Manual,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5781382677
,,2004,Alfa Romeo,GT,GT,3179cc,,Manual,,Coupe,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5785492773
,,2006,Alfa Romeo,147,Gta,3170cc,,,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5784902604
,,2016,Alfa Romeo,Giulietta,TCT 1.4P,1368cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5269639160
,,2009,Alfa Romeo,159,2.2L,2190cc,,Automatic,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5791362755
,,2019,Alfa Romeo,Stelvio,Quadrifoglio,2891cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5138856949
,,2009,Alfa Romeo,Other,Brera,2198cc,,Manual,,Coupe,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5790189355
,,2022,Alfa Romeo,Stelvio,Veloce,1995cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5794849628
,,2019,Alfa Romeo,Stelvio,Quadrifoglio,2891cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5794848078
,,2008,Alfa Romeo,147,Selespeed,1960cc,,Manual,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5806571322
,,2004,Alfa Romeo,147,GTA,3179cc,,Manual,,Hatchback,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5818035663
,,2022,Alfa Romeo,Giulia,Quadrifoglio Verde,2891cc,,Automatic,,Other,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5794848575
,,1999,Alfa Romeo,Spider,2.0 TWIN SPARK,1960cc,,Manual,,Convertible,,https://www.trademe.co.nz/a/motors/cars/alfa-romeo/5803377445
,,2013,Aston Martin,Vanquish,Coupe,5935cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5815839155
,,2021,Aston Martin,DBX,4.0 Bi-Turbo V8,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5814005463
,,2022,Aston Martin,DBX,DBX V8,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5813958906
,,2020,Aston Martin,Vantage,Vantage,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5808297166
,,2021,Aston Martin,DBX,4.0p/4wd/9at,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5806789747
,,1995,Aston Martin,DB7,DB7,3230cc,,Automatic,,Other,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5805487115
,,2018,Aston Martin,Vantage,Vantage,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5805432377
,,2024,Aston Martin,DBX,707 Edition AMR23 Podium,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5803274280
,,2021,Aston Martin,Vantage,Vantage,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5802000171
,,2006,Aston Martin,Vantage,V8 Vantage,4300cc,,Manual,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5798445714
,,2005,Aston Martin,DB9,6L V12,5935cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5793744124
,,2014,Aston Martin,Vantage,V8 Vantage S Coupe Sp...,4735cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5791602790
,,2021,Aston Martin,Vantage,Heritage Racing Edition,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5791437890
,,2025,Aston Martin,DBX,DBX707,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5791324222
,,2026,Aston Martin,DBX,S,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5787983836
,,2007,Aston Martin,DB9,DB9,5935cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5784949972
,,2013,Aston Martin,Vanquish,6.0 V12 NZ New Coupe,6000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5783592892
,,2026,Aston Martin,DBX,DBX707 4.0L Twin-Turbo V8,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5778080919
,,2020,Aston Martin,DBS,Superleggera Volante,5204cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5778032719
,,2018,Aston Martin,Vantage,Coupe V8 Twin Turbo 5...,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5776920426
,,2019,Aston Martin,Vantage,Coupe,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5774851066
,,2021,Aston Martin,DBX,4.0P V8 *NZ New* One Owner,3982cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5769113504
,,2007,Aston Martin,DB9,DB9,5935cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5767096471
,,2020,Aston Martin,DB11,V8,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5760142498
,,2019,Aston Martin,Vantage,Coupe,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5754692152
,,2020,Aston Martin,DBX,4.0 BI-TURBO 4WD,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5752263123
,,2022,Aston Martin,DBX,707 4L V8 Petrol Auto,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5751108397
,,2008,Aston Martin,DB9,Volante,5935cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5743392784
,,2024,Aston Martin,DB12,Volante,3982cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5738558801
,,2010,Aston Martin,Rapide,NZ New,5935cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5738419509
,,2007,Aston Martin,Vantage,4.3 Litre V8 - 6 Spee...,4300cc,,Manual,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5735920579
,,2002,Aston Martin,DB7,Vantage Cabrio,5935cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5729969753
,,2025,Aston Martin,DB12,Coupe,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5728326803
,,2005,Aston Martin,DB9,"NZ New, V12, 6.0 Liter En...",6000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5726383369
,,2005,Aston Martin,DB9,V12 NZ NEW,5935cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5711822175
,,2004,Aston Martin,Vanquish,6.0 V12 Generation 1,6000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5699631199
,,2019,Aston Martin,DBS,Superleggera 5.2P,5204cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5680662590
,,2023,Aston Martin,DBX,DBX707,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5672641891
,,2018,Aston Martin,Vantage,4.0 V8T New Model,4000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5669431863
,,2021,Aston Martin,DB11,V8 Coupe,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5669220897
,,2006,Aston Martin,DB9,Volante,5935cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5665042711
,,2020,Aston Martin,DBX,4.0L Twin Turbo V8,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5661978660
,,2006,Aston Martin,DB9,6.0 V12 Volante,6000cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5661776125
,,2003,Aston Martin,DB7,VANTAGE VOLANTE,5935cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5656892945
,,2026,Aston Martin,Vanquish,Coupe,5204cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5644680709
,,2013,Aston Martin,Vantage,4.7 Litre V8 - Speeds...,4735cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5644372160
,,2017,Aston Martin,DB11,5.2P/8AT,5204cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5633338439
,,2022,Aston Martin,Vantage,4.0P V8 Bi-Turbo 8A 2...,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5632811799
,,2015,Aston Martin,Vanquish,Volante V12,5935cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5621135462
,,2022,Aston Martin,DBX,DBX707,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5619759078
,,2018,Aston Martin,DB11,V8,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5767568749
,,2022,Aston Martin,DBX,4.0 Twin Turbo V8 405kw,3982cc,,Automatic,,Station Wagon,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5521212744
,,2025,Aston Martin,Vantage,Coupe,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5485354247
,,2008,Aston Martin,Vantage,V8 Roadstar,4300cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5796684105
,,2024,Aston Martin,DB12,4.0L Twin Turbo V8,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5418545072
,,2016,Aston Martin,Vantage,4.7 V8 S Facelift Con...,4700cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5413845391
,,2024,Aston Martin,Vantage,Coupe,3982cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5391553288
,,2023,Aston Martin,DBX,DBX707,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5386704928
,,2012,Aston Martin,Virage,Volante,5935cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5803423799
,,1997,Aston Martin,DB7,i6 supercharged,3239cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5799563417
,,2008,Aston Martin,Vantage,V8 Volante,4300cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5307902769
,,2003,Aston Martin,Vanquish,V12 Coupe,5935cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5305617454
,,2015,Aston Martin,Rapide,NZ NEW 6.0 V12 Coupe,5933cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5271450224
,,2004,Aston Martin,Vanquish,6.0 V12 Generation 1,6000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5269908554
,,2024,Aston Martin,Other,Volante DB12 Volante,3982cc,,Automatic,,Convertible,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5258662376
,,2006,Aston Martin,Vantage,V8,4282cc,,,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5802770645
,,2025,Aston Martin,DBX,DBX707,3982cc,,Automatic,,RV/SUV,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5236012988
,,2019,Aston Martin,Vantage,Vantage,4000cc,,Automatic,,Coupe,,https://www.trademe.co.nz/a/motors/cars/aston-martin/5786520097
